"sample","fastq_1","fastq_2","run_accession","experiment_accession","sample_accession","secondary_sample_accession","study_accession","secondary_study_accession","submission_accession","run_alias","experiment_alias","sample_alias","study_alias","library_layout","library_selection","library_source","library_strategy","library_name","instrument_model","instrument_platform","base_count","read_count","tax_id","scientific_name","sample_title","experiment_title","study_title","sample_description","fastq_md5","fastq_bytes","fastq_ftp","fastq_galaxy","fastq_aspera"
"SRX18040031","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040031_SRR22059162_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040031_SRR22059162_2.fastq.gz","SRR22059162","SRX18040031","SAMN31467949","SRS15546585","PRJNA894694","SRP404734","SRA1528442","21089FL-01-03-01_S1_L002_R1_001.fastq.gz","21089FL-01-03-01","A-36","PRJNA894694","PAIRED","PolyA","TRANSCRIPTOMIC","RNA-Seq","21089FL-01-03-01","HiSeq X Ten","ILLUMINA","12951105108","42884454","6565","Crassostrea virginica","Control group: biological replicate for family 84","HiSeq X Ten sequencing: RNA-Seq of Crassostrea virginica: mantle tissue","Understanding Crassostrea virginica tolerance of Perkinsus marinus through global gene expression analysis","Control group: biological replicate for family 84","9c7598c6c578088433069cdbb63fb3d8;105a76e6bed5af4af35ffc5b45999c15","2269383951;2282453500","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/062/SRR22059162/SRR22059162_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/062/SRR22059162/SRR22059162_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/062/SRR22059162/SRR22059162_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/062/SRR22059162/SRR22059162_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/062/SRR22059162/SRR22059162_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/062/SRR22059162/SRR22059162_2.fastq.gz"
"SRX18040032","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040032_SRR22059158_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040032_SRR22059158_2.fastq.gz","SRR22059158","SRX18040032","SAMN31467950","SRS15546586","PRJNA894694","SRP404734","SRA1528442","21089FL-01-03-02_S2_L002_R1_001.fastq.gz","21089FL-01-03-02","A-128","PRJNA894694","PAIRED","PolyA","TRANSCRIPTOMIC","RNA-Seq","21089FL-01-03-02","HiSeq X Ten","ILLUMINA","14838549540","49134270","6565","Crassostrea virginica","Dose 1x10^6: biological replicate for family 84","HiSeq X Ten sequencing: RNA-Seq of Crassostrea virginica: mantle tissue","Understanding Crassostrea virginica tolerance of Perkinsus marinus through global gene expression analysis","Dose 1x10^6: biological replicate for family 84","c74d61a08e206633ff23bfc6feefa8fc;09c5930f20c49bcfca959cf34dfc73ac","3269221382;3506603112","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/058/SRR22059158/SRR22059158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/058/SRR22059158/SRR22059158_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/058/SRR22059158/SRR22059158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/058/SRR22059158/SRR22059158_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/058/SRR22059158/SRR22059158_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/058/SRR22059158/SRR22059158_2.fastq.gz"
"SRX18040033","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040033_SRR22059157_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040033_SRR22059157_2.fastq.gz","SRR22059157","SRX18040033","SAMN31467951","SRS15546587","PRJNA894694","SRP404734","SRA1528442","21089FL-01-03-03_S3_L002_R1_001.fastq.gz","21089FL-01-03-03","B-183","PRJNA894694","PAIRED","PolyA","TRANSCRIPTOMIC","RNA-Seq","21089FL-01-03-03","HiSeq X Ten","ILLUMINA","29368505212","97246706","6565","Crassostrea virginica","Dose 1x10^7: biological replicate for family 89","HiSeq X Ten sequencing: RNA-Seq of Crassostrea virginica: mantle tissue","Understanding Crassostrea virginica tolerance of Perkinsus marinus through global gene expression analysis","Dose 1x10^7: biological replicate for family 89","4e9028967dbc32aa048343f8d06388b9;04e4d7e4caa09724d7c2456bb375def6","6941378885;7491444246","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/057/SRR22059157/SRR22059157_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/057/SRR22059157/SRR22059157_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/057/SRR22059157/SRR22059157_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/057/SRR22059157/SRR22059157_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/057/SRR22059157/SRR22059157_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/057/SRR22059157/SRR22059157_2.fastq.gz"
"SRX18040034","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040034_SRR22059156_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040034_SRR22059156_2.fastq.gz","SRR22059156","SRX18040034","SAMN31467952","SRS15546588","PRJNA894694","SRP404734","SRA1528442","21089FL-01-03-04_S4_L002_R1_001.fastq.gz","21089FL-01-03-04","B-216","PRJNA894694","PAIRED","PolyA","TRANSCRIPTOMIC","RNA-Seq","21089FL-01-03-04","HiSeq X Ten","ILLUMINA","12891232098","42686199","6565","Crassostrea virginica","Dose 1x10^8: biological replicate for family 89","HiSeq X Ten sequencing: RNA-Seq of Crassostrea virginica: mantle tissue","Understanding Crassostrea virginica tolerance of Perkinsus marinus through global gene expression analysis","Dose 1x10^8: biological replicate for family 89","4dadd0ee5d581a48062120393b408b59;6c2611628e7d534bd42fbcd384e0122a","3055645709;3301408286","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/056/SRR22059156/SRR22059156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/056/SRR22059156/SRR22059156_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/056/SRR22059156/SRR22059156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/056/SRR22059156/SRR22059156_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/056/SRR22059156/SRR22059156_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/056/SRR22059156/SRR22059156_2.fastq.gz"
"SRX18040035","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040035_SRR22059155_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040035_SRR22059155_2.fastq.gz","SRR22059155","SRX18040035","SAMN31467953","SRS15546589","PRJNA894694","SRP404734","SRA1528442","21089FL-01-03-05_S5_L002_R1_001.fastq.gz","21089FL-01-03-05","C-130","PRJNA894694","PAIRED","PolyA","TRANSCRIPTOMIC","RNA-Seq","21089FL-01-03-05","HiSeq X Ten","ILLUMINA","11194643814","37068357","6565","Crassostrea virginica","Dose 1x10^6: biological replicate for family 90","HiSeq X Ten sequencing: RNA-Seq of Crassostrea virginica: mantle tissue","Understanding Crassostrea virginica tolerance of Perkinsus marinus through global gene expression analysis","Dose 1x10^6: biological replicate for family 90","a528d4d9e9263597fe2d58798ba3fff8;99687a32ab68b95d1521989239712f9e","2512671865;2676960588","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/055/SRR22059155/SRR22059155_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/055/SRR22059155/SRR22059155_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/055/SRR22059155/SRR22059155_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/055/SRR22059155/SRR22059155_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/055/SRR22059155/SRR22059155_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/055/SRR22059155/SRR22059155_2.fastq.gz"
"SRX18040036","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040036_SRR22059153_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040036_SRR22059153_2.fastq.gz","SRR22059153","SRX18040036","SAMN31467936","SRS15546590","PRJNA894694","SRP404734","SRA1528442","21089FL-01-01-03_S23_L002_R1_001.fastq.gz","21089FL-01-01-03","A-158","PRJNA894694","PAIRED","PolyA","TRANSCRIPTOMIC","RNA-Seq","21089FL-01-01-03","HiSeq X Ten","ILLUMINA","14416343272","47736236","6565","Crassostrea virginica","Dose 1x10^7: biological replicate for family 84","HiSeq X Ten sequencing: RNA-Seq of Crassostrea virginica: mantle tissue","Understanding Crassostrea virginica tolerance of Perkinsus marinus through global gene expression analysis","Dose 1x10^7: biological replicate for family 84","96692e6f0f5dc81a7d32c7b1308edb7f;68c413c0a91d8f16b2a13007d394703d","2352923532;2369697662","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/053/SRR22059153/SRR22059153_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/053/SRR22059153/SRR22059153_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/053/SRR22059153/SRR22059153_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/053/SRR22059153/SRR22059153_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/053/SRR22059153/SRR22059153_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/053/SRR22059153/SRR22059153_2.fastq.gz"
"SRX18040037","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040037_SRR22059152_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040037_SRR22059152_2.fastq.gz","SRR22059152","SRX18040037","SAMN31467954","SRS15546591","PRJNA894694","SRP404734","SRA1528442","21089FL-01-03-06_S6_L002_R1_001.fastq.gz","21089FL-01-03-06","C-143","PRJNA894694","PAIRED","PolyA","TRANSCRIPTOMIC","RNA-Seq","21089FL-01-03-06","HiSeq X Ten","ILLUMINA","14491086762","47983731","6565","Crassostrea virginica","Dose 1x10^7: biological replicate for family 90","HiSeq X Ten sequencing: RNA-Seq of Crassostrea virginica: mantle tissue","Understanding Crassostrea virginica tolerance of Perkinsus marinus through global gene expression analysis","Dose 1x10^7: biological replicate for family 90","56d14eaffd7ee742128f922f331fc81a;47836b83aee497a399ef490ddfeafe42","3309751649;3574165648","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/052/SRR22059152/SRR22059152_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/052/SRR22059152/SRR22059152_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/052/SRR22059152/SRR22059152_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/052/SRR22059152/SRR22059152_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/052/SRR22059152/SRR22059152_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/052/SRR22059152/SRR22059152_2.fastq.gz"
"SRX18040038","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040038_SRR22059151_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040038_SRR22059151_2.fastq.gz","SRR22059151","SRX18040038","SAMN31467955","SRS15546592","PRJNA894694","SRP404734","SRA1528442","21089FL-01-03-09_S9_L002_R1_001.fastq.gz","21089FL-01-03-09","I-131","PRJNA894694","PAIRED","PolyA","TRANSCRIPTOMIC","RNA-Seq","21089FL-01-03-09","HiSeq X Ten","ILLUMINA","11162120226","36960663","6565","Crassostrea virginica","Dose 1x10^6: biological replicate for family 120","HiSeq X Ten sequencing: RNA-Seq of Crassostrea virginica: mantle tissue","Understanding Crassostrea virginica tolerance of Perkinsus marinus through global gene expression analysis","Dose 1x10^6: biological replicate for family 120","79aabb11a8980ee0c32d1630b0781da8;28c3dc57945d48d756efaed60bcac5bb","2496232811;2723398831","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/051/SRR22059151/SRR22059151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/051/SRR22059151/SRR22059151_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/051/SRR22059151/SRR22059151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/051/SRR22059151/SRR22059151_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/051/SRR22059151/SRR22059151_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/051/SRR22059151/SRR22059151_2.fastq.gz"
"SRX18040039","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040039_SRR22059154_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040039_SRR22059154_2.fastq.gz","SRR22059154","SRX18040039","SAMN31467956","SRS15546593","PRJNA894694","SRP404734","SRA1528442","21089FL-01-03-10_S10_L002_R1_001.fastq.gz","21089FL-01-03-10","I-143","PRJNA894694","PAIRED","PolyA","TRANSCRIPTOMIC","RNA-Seq","21089FL-01-03-10","HiSeq X Ten","ILLUMINA","8350271008","27649904","6565","Crassostrea virginica","Dose 1x10^7: biological replicate for family 120","HiSeq X Ten sequencing: RNA-Seq of Crassostrea virginica: mantle tissue","Understanding Crassostrea virginica tolerance of Perkinsus marinus through global gene expression analysis","Dose 1x10^7: biological replicate for family 120","1d471f152f4bac7c77cb65202372c23b;18c37cc302e002107020ad08250a5a66","1420727757;1430265814","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/054/SRR22059154/SRR22059154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/054/SRR22059154/SRR22059154_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/054/SRR22059154/SRR22059154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/054/SRR22059154/SRR22059154_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/054/SRR22059154/SRR22059154_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/054/SRR22059154/SRR22059154_2.fastq.gz"
"SRX18040040","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040040_SRR22059150_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040040_SRR22059150_2.fastq.gz","SRR22059150","SRX18040040","SAMN31467957","SRS15546594","PRJNA894694","SRP404734","SRA1528442","21089FL-01-04-01_S33_L003_R1_001.fastq.gz","21089FL-01-04-01","A-132","PRJNA894694","PAIRED","PolyA","TRANSCRIPTOMIC","RNA-Seq","21089FL-01-04-01","HiSeq X Ten","ILLUMINA","8110082556","26854578","6565","Crassostrea virginica","Dose 1x10^6: biological replicate for family 84","HiSeq X Ten sequencing: RNA-Seq of Crassostrea virginica: mantle tissue","Understanding Crassostrea virginica tolerance of Perkinsus marinus through global gene expression analysis","Dose 1x10^6: biological replicate for family 84","c9e3358a711c5d34c575506f9665a8e0;92d7543dcb3bb97f9ef866869fbb0f86","1810446061;1964121048","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/050/SRR22059150/SRR22059150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/050/SRR22059150/SRR22059150_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/050/SRR22059150/SRR22059150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/050/SRR22059150/SRR22059150_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/050/SRR22059150/SRR22059150_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/050/SRR22059150/SRR22059150_2.fastq.gz"
"SRX18040041","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040041_SRR22059149_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040041_SRR22059149_2.fastq.gz","SRR22059149","SRX18040041","SAMN31467958","SRS15546595","PRJNA894694","SRP404734","SRA1528442","21089FL-01-04-02_S34_L003_R1_001.fastq.gz","21089FL-01-04-02","A-152","PRJNA894694","PAIRED","PolyA","TRANSCRIPTOMIC","RNA-Seq","21089FL-01-04-02","HiSeq X Ten","ILLUMINA","16736329620","55418310","6565","Crassostrea virginica","Dose 1x10^7: biological replicate for family 84","HiSeq X Ten sequencing: RNA-Seq of Crassostrea virginica: mantle tissue","Understanding Crassostrea virginica tolerance of Perkinsus marinus through global gene expression analysis","Dose 1x10^7: biological replicate for family 84","b72362008eff6a29009ea2025e7012a5;0a0d920da01812d6abe80f48bf8b4bdb","3736788620;4173902577","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/049/SRR22059149/SRR22059149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/049/SRR22059149/SRR22059149_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/049/SRR22059149/SRR22059149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/049/SRR22059149/SRR22059149_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/049/SRR22059149/SRR22059149_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/049/SRR22059149/SRR22059149_2.fastq.gz"
"SRX18040042","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040042_SRR22059148_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040042_SRR22059148_2.fastq.gz","SRR22059148","SRX18040042","SAMN31467959","SRS15546596","PRJNA894694","SRP404734","SRA1528442","21089FL-01-04-03_S35_L003_R1_001.fastq.gz","21089FL-01-04-03","B-14","PRJNA894694","PAIRED","PolyA","TRANSCRIPTOMIC","RNA-Seq","21089FL-01-04-03","HiSeq X Ten","ILLUMINA","8842368532","29279366","6565","Crassostrea virginica","Control group: biological replicate for family 89","HiSeq X Ten sequencing: RNA-Seq of Crassostrea virginica: mantle tissue","Understanding Crassostrea virginica tolerance of Perkinsus marinus through global gene expression analysis","Control group: biological replicate for family 89","dd302f713703f12d279817ad79e4ff03;caed11888093eb8c08ba677b8fba4b7b","1499509815;1513053637","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/048/SRR22059148/SRR22059148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/048/SRR22059148/SRR22059148_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/048/SRR22059148/SRR22059148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/048/SRR22059148/SRR22059148_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/048/SRR22059148/SRR22059148_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/048/SRR22059148/SRR22059148_2.fastq.gz"
"SRX18040043","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040043_SRR22059147_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040043_SRR22059147_2.fastq.gz","SRR22059147","SRX18040043","SAMN31467960","SRS15546597","PRJNA894694","SRP404734","SRA1528442","21089FL-01-04-04_S36_L003_R1_001.fastq.gz","21089FL-01-04-04","B-228","PRJNA894694","PAIRED","PolyA","TRANSCRIPTOMIC","RNA-Seq","21089FL-01-04-04","HiSeq X Ten","ILLUMINA","8987307090","29759295","6565","Crassostrea virginica","Dose 1x10^8: biological replicate for family 89","HiSeq X Ten sequencing: RNA-Seq of Crassostrea virginica: mantle tissue","Understanding Crassostrea virginica tolerance of Perkinsus marinus through global gene expression analysis","Dose 1x10^8: biological replicate for family 89","3098a0cc221bddea22b821bb1072b478;34c0598980c4dd3e24e06eadd60decf0","2036070957;2230056352","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/047/SRR22059147/SRR22059147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/047/SRR22059147/SRR22059147_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/047/SRR22059147/SRR22059147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/047/SRR22059147/SRR22059147_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/047/SRR22059147/SRR22059147_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/047/SRR22059147/SRR22059147_2.fastq.gz"
"SRX18040044","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040044_SRR22059145_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040044_SRR22059145_2.fastq.gz","SRR22059145","SRX18040044","SAMN31467961","SRS15546598","PRJNA894694","SRP404734","SRA1528442","21089FL-01-04-05_S37_L003_R1_001.fastq.gz","21089FL-01-04-05","C-121","PRJNA894694","PAIRED","PolyA","TRANSCRIPTOMIC","RNA-Seq","21089FL-01-04-05","HiSeq X Ten","ILLUMINA","10857448734","35951817","6565","Crassostrea virginica","Dose 1x10^6: biological replicate for family 90","HiSeq X Ten sequencing: RNA-Seq of Crassostrea virginica: mantle tissue","Understanding Crassostrea virginica tolerance of Perkinsus marinus through global gene expression analysis","Dose 1x10^6: biological replicate for family 90","a29b7855f98f04b2d82efd1671f2d21b;9d744cd4639436f448fbbb21c3e6b51c","1803296048;1820572630","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/045/SRR22059145/SRR22059145_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/045/SRR22059145/SRR22059145_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/045/SRR22059145/SRR22059145_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/045/SRR22059145/SRR22059145_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/045/SRR22059145/SRR22059145_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/045/SRR22059145/SRR22059145_2.fastq.gz"
"SRX18040045","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040045_SRR22059144_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040045_SRR22059144_2.fastq.gz","SRR22059144","SRX18040045","SAMN31467962","SRS15546599","PRJNA894694","SRP404734","SRA1528442","21089FL-01-04-06_S38_L003_R1_001.fastq.gz","21089FL-01-04-06","C-158","PRJNA894694","PAIRED","PolyA","TRANSCRIPTOMIC","RNA-Seq","21089FL-01-04-06","HiSeq X Ten","ILLUMINA","13767194876","45586738","6565","Crassostrea virginica","Dose 1x10^7: biological replicate for family 90","HiSeq X Ten sequencing: RNA-Seq of Crassostrea virginica: mantle tissue","Understanding Crassostrea virginica tolerance of Perkinsus marinus through global gene expression analysis","Dose 1x10^7: biological replicate for family 90","c6af470c4f256f9dff9501b7854190c0;8123c8aacf4baf5f12c0f0f502ef0454","2997515199;3324440315","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/044/SRR22059144/SRR22059144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/044/SRR22059144/SRR22059144_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/044/SRR22059144/SRR22059144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/044/SRR22059144/SRR22059144_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/044/SRR22059144/SRR22059144_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/044/SRR22059144/SRR22059144_2.fastq.gz"
"SRX18040046","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040046_SRR22059143_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040046_SRR22059143_2.fastq.gz","SRR22059143","SRX18040046","SAMN31467963","SRS15546600","PRJNA894694","SRP404734","SRA1528442","21089FL-01-04-09_S41_L003_R1_001.fastq.gz","21089FL-01-04-09","I-135","PRJNA894694","PAIRED","PolyA","TRANSCRIPTOMIC","RNA-Seq","21089FL-01-04-09","HiSeq X Ten","ILLUMINA","17523426784","58024592","6565","Crassostrea virginica","Dose 1x10^6: biological replicate for family 120","HiSeq X Ten sequencing: RNA-Seq of Crassostrea virginica: mantle tissue","Understanding Crassostrea virginica tolerance of Perkinsus marinus through global gene expression analysis","Dose 1x10^6: biological replicate for family 120","3781559be764a767f0c37337b3ef5342;288a06fa95ad59baa1c5f1c6ce4755d2","3929707732;4287576459","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/043/SRR22059143/SRR22059143_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/043/SRR22059143/SRR22059143_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/043/SRR22059143/SRR22059143_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/043/SRR22059143/SRR22059143_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/043/SRR22059143/SRR22059143_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/043/SRR22059143/SRR22059143_2.fastq.gz"
"SRX18040047","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040047_SRR22059146_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040047_SRR22059146_2.fastq.gz","SRR22059146","SRX18040047","SAMN31467937","SRS15546601","PRJNA894694","SRP404734","SRA1528442","21089FL-01-01-04_S24_L002_R1_001.fastq.gz","21089FL-01-01-04","B-171","PRJNA894694","PAIRED","PolyA","TRANSCRIPTOMIC","RNA-Seq","21089FL-01-01-04","HiSeq X Ten","ILLUMINA","12689312180","42017590","6565","Crassostrea virginica","Dose 1x10^7: biological replicate for family 89","HiSeq X Ten sequencing: RNA-Seq of Crassostrea virginica: mantle tissue","Understanding Crassostrea virginica tolerance of Perkinsus marinus through global gene expression analysis","Dose 1x10^7: biological replicate for family 89","f6a4e7b422d2e37fdf3f6ead75744c6a;c274a417279ad525f3f552cb5b2025cb","2022998284;2038535345","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/046/SRR22059146/SRR22059146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/046/SRR22059146/SRR22059146_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/046/SRR22059146/SRR22059146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/046/SRR22059146/SRR22059146_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/046/SRR22059146/SRR22059146_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/046/SRR22059146/SRR22059146_2.fastq.gz"
